Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Portugal,PRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.137469211538,61.1343011242723,61.1296726507436,61.1233069673808,61.114927250613,61.1042566768691,61.0951249296597,61.1259255772782,61.2048652633664
Portugal,PRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.6328614804299,70.423567088723,73.7912139515729,74.6609681487507,75.3463779408712,78.26166044,82.30902804,84.49690644,85.79012676
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,83.8317073170732,82.2317073170732,83.1780487804878,83.1341463414634,83.9341463414634
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,25982.4416197775,26755.6061149398,28381.3425596906,30602.4212881113,29786.5245689007,27233.9426461608,30799.4775937775,30319.4987196616,33493.2225409111
Spain,ESP,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2383.85302734,2378.13598633,2564.55834961,2784.16308594,2756.62109375,2942.41943359,3188.8515625,2948.61474609,3106.62011719
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,22.057,19.635,17.224,15.255,14.104,15.532,14.914,13.033,12.179
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.2454892743023,79.3615955277997,79.4663233085683,79.5580057813361,79.6349761108307,79.6955674617799,79.7846242983598,79.9548794567814,80.128491001856
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.6896318703515,80.5613329432179,84.6022457016524,86.107235525659,90.718665325267,93.20564892,93.89752157,94.4855432,95.44564516
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.2048780487805,82.3073170731707,82.409756097561,82.5585365853659,83.109756097561,82.3560975609756,83.0560975609756,83.0585365853659,83.309756097561
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51188.1652120493,51703.5088332851,53210.2233318965,54018.4554391861,51648.9892820514,52568.5726980146,60647.5416365347,54836.8907235124,54950.2834725622
